I-94 Arrivals based on Country of Residence (COR),Western Europe ,Asia *,South America ,Caribbean *,Oceania ,Middle East ,Central America ,Eastern Europe *,Africa *
Jan-17,771840,1088528,430348,81969,128526,104781,85740,80492,37195
Feb-17,847113,797515,368711,80685,80078,51158,66527,67923,26696
Mar-17,996376,899974,391253,104263,102078,83341,69185,80365,37165
Apr-17,1365187,892018,460736,134425,140424,85901,97055,93975,45805
May-17,1136347,1074682,457419,127587,151552,88135,88868,92569,50196
Jun-17,1136807,1098962,474624,150349,157272,116796,102793,110876,51952
Jul-17,1439732,1183526,549299,214856,154244,139176,104148,97948,69843
Aug-17,1472224,1302502,474977,202828,150717,159190,84816,105222,74924
Sep-17,1227369,1086657,449138,108644,176324,103228,92572,98315,49844
Oct-17,1409294,946777,474815,130447,133195,92922,102928,93317,43274
Nov-17,983579,828779,437025,143965,104273,75012,115825,76050,37563
Dec-17,1097876,937098,587696,190614,153711,82004,157529,92929,61627
