State,CS Male,CS Female,I Male,I Female
Texas,375200,113600,192500,22300
California,277500,72100,186000,15100
Georgia,353600,98200,79600,8900
Pennsylvania,223500,72700,76300,7600
Florida,167000,58400,137900,15100
Ohio,189700,72300,62800,7900
Michigan,147700,46100,53100,4600
New York,120500,25000,71100,4800
Illinois,118200,33100,59500,4400
New Jersey,117700,33700,31700,2200
Indiana,93100,29400,38200,5200
North Carolina,73400,24000,48800,5000
Arizona,66700,16700,49100,5800
Washington,81600,23200,26300,3400
Tennessee,57100,18300,41600,6500
Minnesota,81000,24000,14800,1600
Colorado,66700,22400,28000,3800
Louisiana,57400,14500,45400,3600
Maryland,71800,15600,27800,1900
Virginia,43700,13300,51000,6300
Alabama,50600,14000,38600,4300
Missouri,47600,15000,38500,4900
Kentucky,49400,21300,28700,5100
Wisconsin,52700,12900,31800,3100
Massachusetts,52600,14300,19000,1200
Oregon,49600,12300,18600,2400
Arkansas,39000,12500,21200,2800
Oklahoma,25700,7700,34400,5300
Mississippi,35500,9300,25800,2300
South Carolina,30500,8000,28900,2800
Connecticut,35700,9500,14700,1100
Idaho,28100,9700,9300,1600
Iowa,26900,8700,11500,1400
Nevada,15200,4000,16800,2300
Kansas,16400,4500,14800,1800
New Mexico,12600,4200,13300,1800
Hawaii,17200,5300,5200,700
Rhode Island,20600,3800,3100,100
Utah,12000,3700,10100,1600
Delaware,12400,3700,6100,500
Nebraska,10000,3700,7700,900
West Virginia,7300,2800,8700,1400
Montana,7400,2300,4800,800
South Dakota,7500,2300,4600,800
Alaska,6600,1900,4800,600
District of Columbia,8500,1400,1700,100
New Hampshire,4900,1400,4100,500
Maine,5400,1400,3500,500
North Dakota,5100,1800,2700,400
Wyoming,4300,1600,3400,600
Vermont,4800,1500,1600,200
