State,Community Supervision Male,Community Supervision Female,Incarcerated Male,Incarcerated Female
AL,50600,14000,38600,4300
AK,6600,1900,4800,600
AZ,66700,16700,49100,5800
AR,39000,12500,21200,2800
CA,277500,72100,186000,15100
CO,66700,22400,28000,3800
CT,35700,9500,14700,1100
DE,12400,3700,6100,500
DC,8500,1400,1700,100
FL,167000,58400,137900,15100
GA,353600,98200,79600,8900
HI,17200,5300,5200,700
ID,28100,9700,9300,1600
IL,118200,33100,59500,4400
IN,93100,29400,38200,5200
IA,26900,8700,11500,1400
KS,16400,4500,14800,1800
KY,49400,21300,28700,5100
LA,57400,14500,45400,3600
ME,5400,1400,3500,500
MD,71800,15600,27800,1900
MA,52600,14300,19000,1200
MI,147700,46100,53100,4600
MN,81000,24000,14800,1600
MS,35500,9300,25800,2300
MO,47600,15000,38500,4900
MT,7400,2300,4800,800
NE,10000,3700,7700,900
NV,15200,4000,16800,2300
NH,4900,1400,4100,500
NJ,117700,33700,31700,2200
NM,12600,4200,13300,1800
NY,120500,25000,71100,4800
NC,73400,24000,48800,5000
ND,5100,1800,2700,400
OH,189700,72300,62800,7900
OK,25700,7700,34400,5300
OR,49600,12300,18600,2400
PA,223500,72700,76300,7600
RI,20600,3800,3100,100
SC,30500,8000,28900,2800
SD,7500,2300,4600,800
TN,57100,18300,41600,6500
TX,375200,113600,192500,22300
UT,12000,3700,10100,1600
VT,4800,1500,1600,200
VA,43700,13300,51000,6300
WA,81600,23200,26300,3400
WV,7300,2800,8700,1400
WI,52700,12900,31800,3100
WY,4300,1600,3400,600
